127.0.0.1 - - [23/Apr/2022:15:12:01 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:13:34 -0300] "GET /gerenciador/NovaEmpresa HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:13:34 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:16:04 -0300] "GET /gerenciador/NovaEmpresa?nome=Alura HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:16:08 -0300] "GET /gerenciador/NovaEmpresa?nome=Alura HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:19:28 -0300] "GET /gerenciador/NovaEmpresa?nome=Alura HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:20:41 -0300] "GET /gerenciador/NovaEmpresa?nome=Caelum HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:30:23 -0300] "GET /gerenciador/NovaEmpresa?nome=Caelum HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:34:58 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:35:06 -0300] "GET /gerenciador/NovaEmpresa?nome=Alura HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:35:16 -0300] "GET /gerenciador/NovaEmpresa?nome=Caelum HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:36:47 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:36:52 -0300] "GET /gerenciador/NovaEmpresa?nome=Caelum HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:38:14 -0300] "GET /gerenciador/NovaEmpresa?nome=Alura HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:38:43 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:38:48 -0300] "POST /gerenciador/NovaEmpresa HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:47:36 -0300] "GET /gerenciador/NovaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:47:47 -0300] "GET /gerenciador/NovaEmpresa?nome=Caelum HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:47:54 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2022:15:47:56 -0300] "POST /gerenciador/NovaEmpresa HTTP/1.1" 200 65
